name,number,arcana,suit,img,fortune_telling,keywords,Archetype,Hebrew Alphabet,Numerology,Elemental,Mythical/Spiritual,Questions to Ask,meanings.light,meanings.shadow,Astrology,Affirmation
The Fool,0,Major Arcana,Trump,m00.jpg,"['Watch for new projects and new beginnings', 'Prepare to take something on faith', 'Something new comes your way; go for it']","['freedom', 'faith', 'inexperience', 'innocence']",The Divine Madman,Aleph/Ox/1,0 (off the scale; pure potential),Air,Adam before the fall. Christ as a wandering holy madman. Deity wrapped in human flesh. The Holy Spirit.,"['What would I do if I felt free to take a leap?', 'How willing am I to be vulnerable and open?', 'How might past experiences help in this new situation?']","['Freeing yourself from limitation', 'Expressing joy and youthful vigor', 'Being open-minded', 'Taking a leap of faith', 'Attuning yourself to your instincts', 'Being eager or curious', 'Exploring your potential', 'Embracing innovation and change']","['Being gullible and naive', 'Taking unnecessary risks', 'Failing to be serious when required', 'Being silly or distracted', 'Lacking experience', 'Failing to honor well-established traditions and limits', 'Behaving inappropriately']",,
The Magician,1,Major Arcana,Trump,m01.jpg,"['A powerful man may play a role in your day', 'Your current situation must be seen as one element of a much larger plan']","['capability', 'empowerment', 'activity']",The Ego/The Self,Beth/House/2,"1 (origins, unity, seeds)",The Sun/Mercury,"Thoth, the Egyptian god of wisdom, known to the Greeks as Hermes and to the Romans as Mercury. Christ working miracles. Brahma, the Creator.","['What am I empowered to do?', 'How might my abilities come into play?', 'To what extent am I making the most of my talents?']","['Taking appropriate action', 'Receiving guidance from a higher power', 'Becoming a channel of divine will', 'Expressing masculine energy in appropriate and constructive ways', 'Being yourself in every way']","['Inflating your own ego', 'Abusing talents', 'Manipulating or deceiving others', 'Being too aggressive', 'Using cheap illusions to dazzle others', 'Refusing to invest the time and effort needed to master your craft', 'Taking shortcuts']",,
The High Priestess,2,Major Arcana,Trump,m02.jpg,"['A mysterious woman arrives', 'A sexual secret may surface', 'Someone knows more than he or she will reveal']","['intuition', 'reflection', 'purity', 'initiation']",The Virgin/The Maiden,Gimel/Camel/3,"2 (division, debate, duality)",The Moon,"The feminine aspect of divinity, particularity when expressed through virginity, as with the Virgin Mary or Isis.","['What might a rebel against tradition do?', ""What isn't being said or revealed?"", 'What could be achieved by observing and reflecting?']","['Listening to your feelings and intuitions', 'Exploring unconventional spirituality', 'Keeping secrets', 'Being receptive', 'Reflecting instead of acting', 'Observing others', 'Preserving purity']","['Being aloof', 'Obsessing on secrets and conspiracies', 'Rejecting guidance from spirit or intuition', 'Revealing all', 'Ignoring gut feelings', 'Refusing to become involved, even when involvement is appropriate']",,
The Empress,3,Major Arcana,Trump,m03.jpg,"['Pregnancy is in the cards', 'An opportunity to be involved in luxurious sexuality is coming', 'Beware a tendency toward addiction']","['fertility', 'productivity', 'ripeness', 'nurturing']",The Mother,Daleth/Door/4,"3 (expression, productivity, output)",Venus,"Gaia, Mother Earth, Ishtar, DemeterÑmature, reproductive female divinity in every form. Also Aphrodite and Turan. ","['What would a concerned and capable mother do?', 'What can I do that would emphasize growth?', 'How can I celebrate my own sensuality and sexuality?']","['Nurturing yourself and others', 'Bearing fruit', 'Celebrating your body', 'Bearing (literal or figurative) children', 'Reveling in luxury', 'Mothering those around you in positive ways', 'Enjoying your sexuality', 'Getting things done']","['Overindulging', 'Being greedy', 'Smothering someone with attention', 'Debilitating someone by being overprotective', 'Inhibiting productivity by obsessing on productivity', 'Being overcome by addictive behavior']",,
The Emperor,4,Major Arcana,Trump,m04.jpg,"['A father figure arrives', 'A new employer or authority figure will give you orders', 'Expect discipline or correction in the near future']","['authority', 'regulation', 'direction', 'structure']",The Father,"He[as]/Window/5, or in some decks, Tzaddi/Fish hook/90","4 (stability, equality, persistence)",Mars/Aries,"Masculine gods, including the Hebrew God, the Christian God, Allah, and Zeus. Patriarchs (Abraham) and lawgivers (Moses). Vishnu, the Preserver.","['How does the issue of control or regulation impact this situation?', 'What would a compassionate but strict father do?', 'What needs more control?']","['Exercising authority', 'Defining limits', 'Directing the flow of work', 'Communicating clear guidelines', 'Being in control of yourself and others', 'Tempering aggressive masculinity with wisdom and experience']","['Micromanaging', 'Crushing the creativity of others with a rigid, iron-fisted approach', 'Insisting on getting your own way', 'Assuming a dictatorial mindset', 'Using overt force to achieve your goals and maintain order']",,
The Hierophant,5,Major Arcana,Trump,m05.jpg,"['Expect to be caught in a misdeed and punished accordingly', 'Pray for forgiveness and confess wrongdoings', 'A more experienced man, spiritual leader, or father figure will come into your life']","['guidance', 'knowledge', 'revelation', 'belief']",The Guardian/The Church/Faith,Vau/Nail or Spike/6,"5 (instability, resistance, confrontation, evolution)",Taurus/Earth,"The Christ, the Apostle Peter, Buddha, Mohammed. Popes, priests, and intercessors of every faith and tradition","['What role might tradition or religion play in this situation?', 'Who authored the rules? Who enforces them? Why?', 'How might an experienced guide impact this situation?']","['Teaching or guiding others', 'Searching for the truth', 'Asking for guidance from a higher power', 'Acknowledging the wisdom and experience of others', 'Taking vows', 'Engaging in heartfelt rituals', 'Volunteering']","['Using experience as a means of manipulating or misguiding others', 'Being dogmatic', 'Favoring tradition over what is expedient or necessary', 'Going through the motions of empty rituals', 'Concealing wisdom', 'Restricting access to spiritual truths or the gods']",,
The Lovers,6,Major Arcana,Trump,m06.jpg,"['A new personal or professional relationship blossoms', 'Sexual opportunities abound', 'Unexpectedly, a friend becomes a lover']","['love', 'passion', 'unity', 'choice']",The Lover/Sexual Awakening,Zain/Sword/7,"6 (cooperation, collaboration, interaction)",Gemini,"Obviously, Adam and Eve, who are depicted in RWS-influenced decks. Also Venus and Cupid, Aphrodite and Eros.","['What guides my choices?', 'What is my heart leading me to do?', 'How might this decision transform me as a person?']","['Being in love', 'Showing your love to others', 'Expressing passion or romantic feelings', 'Aligning yourself with groups or like-minded others', 'Bringing people together', 'Making well-informed decisions']","['Debilitating passion', 'Allowing an unhealthy desire for love to motivate destructive behavior', 'Disrupting unity', 'Working against the best interests of those who care about you', 'Ill-informed decisions']",,
The Chariot,7,Major Arcana,Trump,m07.jpg,"['Victory is a certainty', 'Move ahead with all plans', 'Beware the jealousy of others']","['advancement', 'victory', 'triumph', 'success']",The Victorious Hero,Cheth/Fence/8,"7 (imagination, inner work, psychology)",Cancer,Odysseus. Jason. The search for the Holy Grail. Christ's triumphal entry into Jerusalem.,"['To what extent have I arrived? What will my next challenge be?', 'How can I use past achievements to their best advantage?', 'What would the criteria for real and meaningful success be?']","['Breaking through barriers', 'Moving forward with confidence and authority', 'Reaching the pinnacle of success', 'Basking in the glory of achievement', 'Guiding an effort to total victory', 'Establishing yourself as a worthy leader']","['Resting on laurels', 'Riding roughshod over the feelings or expectations of others', 'Focusing more on past successes than future opportunities', 'Failing to rein in impulsive behavior']",,
Strength,8,Major Arcana,Trump,m08.jpg,"['Your self-control will be tested', 'A woman will seek to change her partner or lover', 'You are a strong, capable person']","['discipline', 'boldness', 'self-discipline', 'power', 'vitality']",The Law,Lamed/Outstretched Arms/30 or Theth/Snake/9,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",Libra or Leo,Themis or Justitia. Ma'at. Solomon dividing a baby. The Sword of Damocles. The giving of the Ten Commandments.,"['To what extent is your life (or work) balanced?', 'How can you achieve greater objectivity?', 'What course of action would be fair to everyone concerned?']","['Imposing restrictions on yourself for your own benefit', 'Bringing your passions under the control of reason', 'Resisting impulses that work against your best interests', 'Taking bold action']","['Indulging weakness, even when you know it will damage your health and happiness', 'Languishing in addiction', 'Allowing your instincts to tame and conquer you', 'Failing to take a stand when necessary']",,
The Hermit,9,Major Arcana,Trump,m09.jpg,"['A period of loneliness begins', 'One partner in a relationship departs', 'A search for love or money proves fruitless']","['solitude', 'experience', 'stillness', 'withdrawal']",The Holy Man,Yod/Hand/10,"9 (fullness, readiness, ripeness)",Virgo,"The Christ, while fasting 40 days in the wilderness. Chronos, the god of time. Father Time. Hermes.","['What would happen if I simply withdrew and took no action?', 'How can I get some perspective on the situation?', 'Who has walked this path before me? How can I enlist his or her help?']","['Becoming or seeking out a guru', 'Going on a retreat', 'Recharging spiritual or creative batteries', 'Lighting the way for those with less experience', 'Stepping back to gain perspective']","['Being a loner', 'Fearing contact with others', 'Becoming a know-it-all', 'Inflating claims of expertise', 'Hiding your skills and talents out of fear of unworthiness']",,
